Fips,County name,2023 Typology,Total ,Biden ,Trump
01001,"Autauga County, Alabama",Working Class Country,27770,7503,19838
01003,"Baldwin County, Alabama",Rural Middle America,109679,24578,83544
01005,"Barbour County, Alabama",African American South,10518,4816,5622
01007,"Bibb County, Alabama",Evangelical Hubs,9595,1986,7525
01009,"Blount County, Alabama",Evangelical Hubs,27588,2640,24711
01011,"Bullock County, Alabama",African American South,4613,3446,1146
01013,"Butler County, Alabama",African American South,9488,3965,5458
01015,"Calhoun County, Alabama",Working Class Country,50983,15216,35101
01017,"Chambers County, Alabama",African American South,15284,6365,8753
01019,"Cherokee County, Alabama",Evangelical Hubs,12301,1624,10583
01021,"Chilton County, Alabama",Evangelical Hubs,19310,3073,16085
01023,"Choctaw County, Alabama",African American South,7464,3127,4296
01025,"Clarke County, Alabama",African American South,13135,5755,7324
01027,"Clay County, Alabama",Evangelical Hubs,6930,1267,5601
01029,"Cleburne County, Alabama",Evangelical Hubs,7227,675,6484
01031,"Coffee County, Alabama",Military Posts,22275,5076,16899
01033,"Colbert County, Alabama",Working Class Country,27886,8343,19203
01035,"Conecuh County, Alabama",African American South,6441,2966,3442
01037,"Coosa County, Alabama",Evangelical Hubs,5479,1796,3631
01039,"Covington County, Alabama",Evangelical Hubs,17430,2721,14586
01041,"Crenshaw County, Alabama",Evangelical Hubs,6617,1700,4864
01043,"Cullman County, Alabama",Evangelical Hubs,41851,4478,36880
01045,"Dale County, Alabama",Military Posts,19738,5170,14303
01047,"Dallas County, Alabama",African American South,17864,12230,5524
01049,"DeKalb County, Alabama",Evangelical Hubs,29356,4281,24767
01051,"Elmore County, Alabama",Evangelical Hubs,41030,10367,30164
01053,"Escambia County, Alabama",African American South,15910,4918,10869
01055,"Etowah County, Alabama",Evangelical Hubs,47728,11567,35528
01057,"Fayette County, Alabama",Evangelical Hubs,8766,1395,7300
01059,"Franklin County, Alabama",Evangelical Hubs,12578,2086,10376
01061,"Geneva County, Alabama",Evangelical Hubs,12545,1595,10848
01063,"Greene County, Alabama",African American South,4775,3884,875
01065,"Hale County, Alabama",African American South,7900,4663,3192
01067,"Henry County, Alabama",Working Class Country,9298,2606,6607
01069,"Houston County, Alabama",Working Class Country,46173,12917,32618
01071,"Jackson County, Alabama",Evangelical Hubs,23636,3717,19670
01073,"Jefferson County, Alabama",African American South,325848,181688,138843
01075,"Lamar County, Alabama",Evangelical Hubs,7193,978,6174
01077,"Lauderdale County, Alabama",Working Class Country,44339,11915,31721
01079,"Lawrence County, Alabama",Evangelical Hubs,16031,3562,12322
01081,"Lee County, Alabama",College Towns,71449,27860,42221
01083,"Limestone County, Alabama",Evangelical Hubs,49235,13672,34640
01085,"Lowndes County, Alabama",African American South,6835,4972,1836
01087,"Macon County, Alabama",African American South,8723,7108,1541
01089,"Madison County, Alabama",College Towns,194767,87286,102780
01091,"Marengo County, Alabama",African American South,10900,5488,5343
01093,"Marion County, Alabama",Evangelical Hubs,13807,1463,12205
01095,"Marshall County, Alabama",Evangelical Hubs,39655,5943,33191
01097,"Mobile County, Alabama",African American South,183164,79474,101243
01099,"Monroe County, Alabama",African American South,10668,4455,6147
01101,"Montgomery County, Alabama",African American South,99139,64529,33311
01103,"Morgan County, Alabama",Working Class Country,53722,13234,39664
01105,"Perry County, Alabama",African American South,5230,3860,1339
01107,"Pickens County, Alabama",African American South,9668,4022,5594
01109,"Pike County, Alabama",African American South,13841,5636,8042
01111,"Randolph County, Alabama",Evangelical Hubs,10837,2203,8559
01113,"Russell County, Alabama",African American South,21329,11228,9864
01115,"St. Clair County, Alabama",Evangelical Hubs,44441,7744,36166
01117,"Shelby County, Alabama",Exurbs,114950,33268,79700
01119,"Sumter County, Alabama",African American South,6291,4648,1598
01121,"Talladega County, Alabama",African American South,35663,13138,22235
01123,"Tallapoosa County, Alabama",Working Class Country,20991,5859,14963
01125,"Tuscaloosa County, Alabama",College Towns,90172,37765,51117
01127,"Walker County, Alabama",Evangelical Hubs,31170,4834,26002
01129,"Washington County, Alabama",Evangelical Hubs,8876,2258,6564
01131,"Wilcox County, Alabama",African American South,5903,4048,1833
01133,"Winston County, Alabama",Evangelical Hubs,11284,974,10195
04001,"Apache County, Arizona",Native American Lands,35268,23293,11442
04003,"Cochise County, Arizona",Military Posts,60665,23732,35557
04005,"Coconino County, Arizona",College Towns,73632,44698,27052
04007,"Gila County, Arizona",Graying America,27735,8943,18377
04009,"Graham County, Arizona",Native American Lands,15029,4034,10749
04011,"Greenlee County, Arizona",Hispanic Centers,3696,1182,2433
04012,"La Paz County, Arizona",Graying America,7472,2236,5129
04013,"Maricopa County, Arizona",Big Cities,2076086,1040774,995665
04015,"Mohave County, Arizona",Graying America,104883,24831,78535
04017,"Navajo County, Arizona",Native American Lands,51930,23383,27657
04019,"Pima County, Arizona",Big Cities,522174,304981,207758
04021,"Pinal County, Arizona",Exurbs,185525,75106,107077
04023,"Santa Cruz County, Arizona",Hispanic Centers,19581,13138,6194
04025,"Yavapai County, Arizona",Graying America,143640,49602,91527
04027,"Yuma County, Arizona",Hispanic Centers,70072,32210,36534
05001,"Arkansas County, Arkansas",Working Class Country,6292,1818,4304
05003,"Ashley County, Arkansas",Evangelical Hubs,7926,2125,5548
05005,"Baxter County, Arkansas",Graying America,21007,4635,15836
05007,"Benton County, Arkansas",Urban Burbs,119912,42249,73965
05009,"Boone County, Arkansas",Evangelical Hubs,17114,3064,13652
05011,"Bradley County, Arkansas",African American South,3654,1214,2335
05013,"Calhoun County, Arkansas",Evangelical Hubs,2182,479,1636
05015,"Carroll County, Arkansas",Rural Middle America,11797,4023,7424
05017,"Chicot County, Arkansas",African American South,4103,2260,1752
05019,"Clark County, Arkansas",College Towns,8395,3438,4616
05021,"Clay County, Arkansas",Evangelical Hubs,5183,962,4086
05023,"Cleburne County, Arkansas",Evangelical Hubs,12680,1988,10328
05025,"Cleveland County, Arkansas",Evangelical Hubs,3600,651,2867
05027,"Columbia County, Arkansas",African American South,8616,2814,5500
05029,"Conway County, Arkansas",Working Class Country,8685,2615,5694
05031,"Craighead County, Arkansas",College Towns,38511,11921,25558
05033,"Crawford County, Arkansas",Evangelical Hubs,24091,4959,18607
05035,"Crittenden County, Arkansas",African American South,16367,8514,7333
05037,"Cross County, Arkansas",Evangelical Hubs,6942,1772,4946
05039,"Dallas County, Arkansas",African American South,2649,963,1573
05041,"Desha County, Arkansas",African American South,4164,2016,1921
05043,"Drew County, Arkansas",Working Class Country,6908,2426,4349
05045,"Faulkner County, Arkansas",College Towns,54428,18347,34421
05047,"Franklin County, Arkansas",Evangelical Hubs,7129,1300,5677
05049,"Fulton County, Arkansas",Evangelical Hubs,5119,1035,3961
05051,"Garland County, Arkansas",Working Class Country,44199,14045,29069
05053,"Grant County, Arkansas",Evangelical Hubs,8200,1268,6794
05055,"Greene County, Arkansas",Evangelical Hubs,16100,3058,12670
05057,"Hempstead County, Arkansas",African American South,6848,2138,4470
05059,"Hot Spring County, Arkansas",Evangelical Hubs,12557,3082,9202
05061,"Howard County, Arkansas",Evangelical Hubs,4834,1340,3367
05063,"Independence County, Arkansas",Evangelical Hubs,14512,2806,11250
05065,"Izard County, Arkansas",Evangelical Hubs,5810,1021,4631
05067,"Jackson County, Arkansas",Evangelical Hubs,5091,1365,3593
05069,"Jefferson County, Arkansas",African American South,25158,14981,9521
05071,"Johnson County, Arkansas",Evangelical Hubs,9498,2283,6938
05073,"Lafayette County, Arkansas",African American South,2679,839,1757
05075,"Lawrence County, Arkansas",Evangelical Hubs,5857,1080,4569
05077,"Lee County, Arkansas",African American South,2848,1423,1286
05079,"Lincoln County, Arkansas",Evangelical Hubs,3875,1032,2729
05081,"Little River County, Arkansas",Working Class Country,5177,1226,3715
05083,"Logan County, Arkansas",Evangelical Hubs,8225,1544,6441
05085,"Lonoke County, Arkansas",Working Class Country,30662,6686,22884
05087,"Madison County, Arkansas",Evangelical Hubs,7351,1563,5658
05089,"Marion County, Arkansas",Evangelical Hubs,7503,1531,5783
05091,"Miller County, Arkansas",Evangelical Hubs,16529,4245,11920
05093,"Mississippi County, Arkansas",African American South,12342,4558,7296
05095,"Monroe County, Arkansas",African American South,2816,1147,1545
05097,"Montgomery County, Arkansas",Evangelical Hubs,3873,731,3046
05099,"Nevada County, Arkansas",African American South,3358,1076,2133
05101,"Newton County, Arkansas",Evangelical Hubs,3998,709,3192
05103,"Ouachita County, Arkansas",African American South,9629,3995,5294
05105,"Perry County, Arkansas",Evangelical Hubs,4627,1012,3479
05107,"Phillips County, Arkansas",African American South,6242,3623,2417
05109,"Pike County, Arkansas",Evangelical Hubs,4246,644,3519
05111,"Poinsett County, Arkansas",Evangelical Hubs,7521,1424,5918
05113,"Polk County, Arkansas",Evangelical Hubs,8490,1246,7035
05115,"Pope County, Arkansas",Working Class Country,24432,5772,18081
05117,"Prairie County, Arkansas",Evangelical Hubs,3495,654,2786
05119,"Pulaski County, Arkansas",African American South,169956,101947,63687
05121,"Randolph County, Arkansas",Evangelical Hubs,6812,1215,5355
05123,"St. Francis County, Arkansas",African American South,7108,3604,3242
05125,"Saline County, Arkansas",Exurbs,56959,16060,39556
05127,"Scott County, Arkansas",Evangelical Hubs,3551,483,2962
05129,"Searcy County, Arkansas",Evangelical Hubs,4019,588,3365
05131,"Sebastian County, Arkansas",Working Class Country,47140,14487,31198
05133,"Sevier County, Arkansas",Hispanic Centers,5202,1116,3884
05135,"Sharp County, Arkansas",Evangelical Hubs,7566,1398,5938
05137,"Stone County, Arkansas",Evangelical Hubs,5938,1180,4616
05139,"Union County, Arkansas",African American South,16607,5584,10478
05141,"Van Buren County, Arkansas",Evangelical Hubs,7807,1593,6034
05143,"Washington County, Arkansas",College Towns,94266,43824,47504
05145,"White County, Arkansas",Working Class Country,30885,5978,24182
05147,"Woodruff County, Arkansas",African American South,2476,856,1543
05149,"Yell County, Arkansas",Evangelical Hubs,6741,1284,5226
06001,"Alameda County, California",Big Cities,773959,617659,136309
06003,"Alpine County, California",Graying America,741,476,244
06005,"Amador County, California",Graying America,22397,8153,13585
06007,"Butte County, California",College Towns,102066,50426,48730
06009,"Calaveras County, California",Graying America,27272,10046,16518
06011,"Colusa County, California",Hispanic Centers,7961,3239,4559
06013,"Contra Costa County, California",Urban Burbs,581316,416386,152877
06015,"Del Norte County, California",Graying America,11453,4677,6461
06017,"El Dorado County, California",Exurbs,116159,51621,61838
06019,"Fresno County, California",Hispanic Centers,364917,193025,164464
06021,"Glenn County, California",Hispanic Centers,11297,3995,7063
06023,"Humboldt County, California",College Towns,69424,44768,21770
06025,"Imperial County, California",Hispanic Centers,56743,34678,20847
06027,"Inyo County, California",Graying America,9484,4634,4620
06029,"Kern County, California",Hispanic Centers,305292,133366,164484
06031,"Kings County, California",Hispanic Centers,43861,18699,24072
06033,"Lake County, California",Graying America,28986,14941,13123
06035,"Lassen County, California",Graying America,12045,2799,8970
06037,"Los Angeles County, California",Big Cities,4264365,3028885,1145530
06039,"Madera County, California",Hispanic Centers,53732,23168,29378
06041,"Marin County, California",Urban Burbs,155830,128288,24612
06043,"Mariposa County, California",Graying America,10280,4088,5950
06045,"Mendocino County, California",Graying America,43340,28782,13267
06047,"Merced County, California",Hispanic Centers,90993,48991,39397
06049,"Modoc County, California",Graying America,4367,1150,3109
06051,"Mono County, California",Graying America,6738,4013,2513
06053,"Monterey County, California",Hispanic Centers,163923,113953,46299
06055,"Napa County, California",Exurbs,72150,49817,20676
06057,"Nevada County, California",Graying America,64750,36359,26779
06059,"Orange County, California",Urban Burbs,1522113,814009,676498
06061,"Placer County, California",Exurbs,235084,106869,122488
06063,"Plumas County, California",Graying America,11260,4561,6445
06065,"Riverside County, California",Hispanic Centers,997156,528340,449144
06067,"Sacramento County, California",Big Cities,718440,440808,259405
06069,"San Benito County, California",Hispanic Centers,28830,17628,10590
06071,"San Bernardino County, California",Hispanic Centers,841130,455859,366257
06073,"San Diego County, California",Big Cities,1602143,964650,600094
06075,"San Francisco County, California",Big Cities,443553,378156,56417
06077,"San Joaquin County, California",Hispanic Centers,289781,161137,121098
06079,"San Luis Obispo County, California",Exurbs,159714,88310,67436
06081,"San Mateo County, California",Urban Burbs,374251,291496,75584
06083,"Santa Barbara County, California",Exurbs,201432,129963,65736
06085,"Santa Clara County, California",Big Cities,850741,617967,214612
06087,"Santa Cruz County, California",Urban Burbs,145649,114246,26937
06089,"Shasta County, California",Graying America,92930,30000,60789
06091,"Sierra County, California",Graying America,1947,730,1142
06093,"Siskiyou County, California",Graying America,23472,9593,13290
06095,"Solano County, California",Exurbs,206831,131639,69306
06097,"Sonoma County, California",Urban Burbs,268317,199938,61825
06099,"Stanislaus County, California",Hispanic Centers,215987,105841,104145
06101,"Sutter County, California",Hispanic Centers,42644,17367,24375
06103,"Tehama County, California",Graying America,28731,8911,19141
06105,"Trinity County, California",Graying America,6330,2851,3188
06107,"Tulare County, California",Hispanic Centers,146885,66105,77579
06109,"Tuolumne County, California",Graying America,30408,11978,17689
06111,"Ventura County, California",Urban Burbs,422825,251388,162207
06113,"Yolo County, California",College Towns,97294,67598,27292
06115,"Yuba County, California",Hispanic Centers,29796,11230,17676
08001,"Adams County, Colorado",Exurbs,236740,134202,95657
08003,"Alamosa County, Colorado",Hispanic Centers,7808,3759,3813
08005,"Arapahoe County, Colorado",Urban Burbs,350183,213607,127323
08007,"Archuleta County, Colorado",Graying America,9144,3738,5189
08009,"Baca County, Colorado",Aging Farmlands,2225,317,1867
08011,"Bent County, Colorado",Hispanic Centers,2274,732,1503
08013,"Boulder County, Colorado",College Towns,206111,159089,42501
08014,"Broomfield County, Colorado",Urban Burbs,46632,29077,16295
08015,"Chaffee County, Colorado",Graying America,13718,7160,6222
08017,"Cheyenne County, Colorado",Aging Farmlands,1136,131,993
08019,"Clear Creek County, Colorado",Graying America,6548,3604,2754
08021,"Conejos County, Colorado",Hispanic Centers,4333,1959,2286
08023,"Costilla County, Colorado",Hispanic Centers,2094,1311,741
08025,"Crowley County, Colorado",Graying America,1750,437,1271
08027,"Custer County, Colorado",Graying America,3635,1112,2474
08029,"Delta County, Colorado",Graying America,19370,5887,13081
08031,"Denver County, Colorado",Big Cities,393829,313293,71618
08033,"Dolores County, Colorado",Graying America,1449,341,1089
08035,"Douglas County, Colorado",Exurbs,231605,104653,121270
08037,"Eagle County, Colorado",Exurbs,29140,18588,9892
08039,"Elbert County, Colorado",Exurbs,18983,4490,14027
08041,"El Paso County, Colorado",Military Posts,378851,161941,202828
08043,"Fremont County, Colorado",Graying America,25557,7369,17517
08045,"Garfield County, Colorado",Exurbs,30904,15427,14717
08047,"Gilpin County, Colorado",Graying America,4186,2223,1833
08049,"Grand County, Colorado",Graying America,9870,4710,4883
08051,"Gunnison County, Colorado",College Towns,11190,7132,3735
08053,"Hinsdale County, Colorado",Graying America,632,255,353
08055,"Huerfano County, Colorado",Graying America,4406,2076,2203
08057,"Jackson County, Colorado",Graying America,876,175,681
08059,"Jefferson County, Colorado",Exurbs,377358,218396,148417
08061,"Kiowa County, Colorado",Aging Farmlands,903,98,795
08063,"Kit Carson County, Colorado",Aging Farmlands,3871,662,3144
08065,"Lake County, Colorado",Graying America,3961,2303,1497
08067,"La Plata County, Colorado",Exurbs,35667,20548,14233
08069,"Larimer County, Colorado",Exurbs,224338,126120,91489
08071,"Las Animas County, Colorado",Hispanic Centers,7961,3497,4284
08073,"Lincoln County, Colorado",Graying America,2651,470,2135
08075,"Logan County, Colorado",Graying America,10532,2218,8087
08077,"Mesa County, Colorado",College Towns,90623,31536,56894
08079,"Mineral County, Colorado",Graying America,756,317,427
08081,"Moffat County, Colorado",Graying America,7026,1203,5670
08083,"Montezuma County, Colorado",Graying America,15500,5836,9306
08085,"Montrose County, Colorado",Graying America,24922,7687,16770
08087,"Morgan County, Colorado",Hispanic Centers,13744,3876,9593
08089,"Otero County, Colorado",Hispanic Centers,9576,3605,5756
08091,"Ouray County, Colorado",Graying America,4020,2365,1577
08093,"Park County, Colorado",Graying America,12291,4903,6991
08095,"Phillips County, Colorado",Aging Farmlands,2485,486,1958
08097,"Pitkin County, Colorado",Graying America,11957,8989,2780
08099,"Prowers County, Colorado",Hispanic Centers,5561,1458,4008
08101,"Pueblo County, Colorado",Hispanic Centers,88301,43772,42252
08103,"Rio Blanco County, Colorado",Graying America,3691,561,3061
08105,"Rio Grande County, Colorado",Hispanic Centers,6305,2495,3660
08107,"Routt County, Colorado",Graying America,16876,10582,5925
08109,"Saguache County, Colorado",Hispanic Centers,3389,1884,1413
08111,"San Juan County, Colorado",Graying America,562,342,202
08113,"San Miguel County, Colorado",Graying America,5147,3924,1136
08115,"Sedgwick County, Colorado",Graying America,1446,301,1121
08117,"Summit County, Colorado",Graying America,18479,12631,5322
08119,"Teller County, Colorado",Graying America,16939,5278,11241
08121,"Washington County, Colorado",Aging Farmlands,3008,369,2595
08123,"Weld County, Colorado",Exurbs,166974,66060,96145
08125,"Yuma County, Colorado",Aging Farmlands,4981,785,4107
09001,"Fairfield County, Connecticut",Urban Burbs,472990,297505,169039
09003,"Hartford County, Connecticut",Urban Burbs,449336,283368,159024
09005,"Litchfield County, Connecticut",Graying America,107544,50164,55601
09007,"Middlesex County, Connecticut",Exurbs,99203,56848,40665
09009,"New Haven County, Connecticut",Urban Burbs,417980,242629,169892
09011,"New London County, Connecticut",Military Posts,139604,79459,57110
09013,"Tolland County, Connecticut",Exurbs,80546,44006,34819
09015,"Windham County, Connecticut",Rural Middle America,57077,26701,29141
10001,"Kent County, Delaware",Military Posts,87025,44552,41009
10003,"New Castle County, Delaware",Urban Burbs,287633,195034,88364
10005,"Sussex County, Delaware",Graying America,129352,56682,71230
11001,"District of Columbia, District of Columbia",Big Cities,344356,317323,18586
12001,"Alachua County, Florida",College Towns,143047,89704,50972
12003,"Baker County, Florida",Evangelical Hubs,14082,2037,11911
12005,"Bay County, Florida",Military Posts,93213,25614,66097
12007,"Bradford County, Florida",Working Class Country,13650,3160,10334
12009,"Brevard County, Florida",Graying America,361653,148549,207883
12011,"Broward County, Florida",Urban Burbs,959640,618752,333409
12013,"Calhoun County, Florida",Graying America,6537,1209,5274
12015,"Charlotte County, Florida",Graying America,116558,42273,73243
12017,"Citrus County, Florida",Graying America,93388,27092,65352
12019,"Clay County, Florida",Exurbs,124660,38317,84480
12021,"Collier County, Florida",Graying America,208285,77621,128950
12023,"Columbia County, Florida",Working Class Country,33092,8914,23836
12027,"DeSoto County, Florida",Graying America,12676,4259,8313
12029,"Dixie County, Florida",Graying America,8173,1365,6759
12031,"Duval County, Florida",Big Cities,494161,252556,233762
12033,"Escambia County, Florida",Military Posts,170856,70929,96674
12035,"Flagler County, Florida",Graying America,71863,28161,43043
12037,"Franklin County, Florida",Graying America,6859,2120,4675
12039,"Gadsden County, Florida",African American South,23762,16153,7465
12041,"Gilchrist County, Florida",Working Class Country,9702,1700,7895
12043,"Glades County, Florida",Graying America,5203,1385,3782
12045,"Gulf County, Florida",Graying America,8172,1985,6113
12047,"Hamilton County, Florida",African American South,5840,1963,3815
12049,"Hardee County, Florida",Hispanic Centers,8502,2298,6122
12051,"Hendry County, Florida",Hispanic Centers,12956,4929,7906
12053,"Hernando County, Florida",Graying America,109150,37519,70412
12055,"Highlands County, Florida",Graying America,52243,16938,34873
12057,"Hillsborough County, Florida",Urban Burbs,714068,376367,327398
12059,"Holmes County, Florida",Evangelical Hubs,9078,924,8080
12061,"Indian River County, Florida",Graying America,97740,37844,58872
12063,"Jackson County, Florida",African American South,22456,6766,15488
12065,"Jefferson County, Florida",African American South,8468,3897,4479
12067,"Lafayette County, Florida",Graying America,3662,510,3128
12069,"Lake County, Florida",Graying America,211314,83505,125859
12071,"Lee County, Florida",Graying America,394758,157695,233247
12073,"Leon County, Florida",College Towns,163476,103517,57453
12075,"Levy County, Florida",Working Class Country,23185,6205,16749
12077,"Liberty County, Florida",Graying America,3565,694,2846
12079,"Madison County, Florida",African American South,9393,3747,5576
12081,"Manatee County, Florida",Graying America,217472,90166,124987
12083,"Marion County, Florida",Graying America,204716,74858,127826
12085,"Martin County, Florida",Graying America,98942,36893,61168
12086,"Miami-Dade County, Florida",Big Cities,1158918,617864,532833
12087,"Monroe County, Florida",Graying America,48135,21881,25693
12089,"Nassau County, Florida",Exurbs,58915,15564,42566
12091,"Okaloosa County, Florida",Military Posts,116743,34248,79798
12093,"Okeechobee County, Florida",Graying America,15984,4390,11470
12095,"Orange County, Florida",Urban Burbs,649157,395014,245398
12097,"Osceola County, Florida",Hispanic Centers,172784,97297,73480
12099,"Palm Beach County, Florida",Urban Burbs,774597,433572,334711
12101,"Pasco County, Florida",Exurbs,302621,119073,179621
12103,"Pinellas County, Florida",Urban Burbs,561161,277450,276209
12105,"Polk County, Florida",Exurbs,344026,145049,194586
12107,"Putnam County, Florida",Working Class Country,36422,10527,25514
12109,"St. Johns County, Florida",Exurbs,177047,63850,110946
12111,"St. Lucie County, Florida",Exurbs,172349,84137,86831
12113,"Santa Rosa County, Florida",Exurbs,107198,27612,77385
12115,"Sarasota County, Florida",Graying America,271169,120110,148370
12117,"Seminole County, Florida",Urban Burbs,261533,132528,125241
12119,"Sumter County, Florida",Graying America,92624,29341,62761
12121,"Suwannee County, Florida",Working Class Country,21083,4485,16410
12123,"Taylor County, Florida",Evangelical Hubs,10138,2299,7751
12125,"Union County, Florida",Graying America,6251,1053,5133
12127,"Volusia County, Florida",Graying America,308109,130575,173821
12129,"Wakulla County, Florida",Exurbs,18448,5351,12874
12131,"Walton County, Florida",Graying America,43795,10338,32947
12133,"Washington County, Florida",Evangelical Hubs,12335,2347,9876
13001,"Appling County, Georgia",Evangelical Hubs,8390,1784,6570
13003,"Atkinson County, Georgia",Working Class Country,3155,825,2300
13005,"Bacon County, Georgia",Evangelical Hubs,4667,625,4017
13007,"Baker County, Georgia",African American South,1555,652,897
13009,"Baldwin County, Georgia",African American South,18251,9140,8903
13011,"Banks County, Georgia",Evangelical Hubs,8801,932,7795
13013,"Barrow County, Georgia",Exurbs,37921,10453,26804
13015,"Bartow County, Georgia",Working Class Country,50464,12091,37672
13017,"Ben Hill County, Georgia",African American South,6564,2393,4111
13019,"Berrien County, Georgia",Evangelical Hubs,7743,1269,6419
13021,"Bibb County, Georgia",African American South,70714,43408,26559
13023,"Bleckley County, Georgia",Evangelical Hubs,5708,1312,4329
13025,"Brantley County, Georgia",Evangelical Hubs,7749,700,6993
13027,"Brooks County, Georgia",African American South,7101,2791,4261
13029,"Bryan County, Georgia",Military Posts,21335,6738,14240
13031,"Bulloch County, Georgia",College Towns,30090,11248,18387
13033,"Burke County, Georgia",African American South,10683,5208,5400
13035,"Butts County, Georgia",Working Class Country,11771,3274,8406
13037,"Calhoun County, Georgia",African American South,2198,1263,923
13039,"Camden County, Georgia",Military Posts,23686,7967,15249
13043,"Candler County, Georgia",African American South,4431,1269,3133
13045,"Carroll County, Georgia",Working Class Country,54472,16236,37476
13047,"Catoosa County, Georgia",Middle Suburbs,32593,6932,25167
13049,"Charlton County, Georgia",Working Class Country,4568,1105,3419
13051,"Chatham County, Georgia",College Towns,133408,78247,53232
13053,"Chattahoochee County, Georgia",Military Posts,1582,667,880
13055,"Chattooga County, Georgia",Evangelical Hubs,10050,1854,8064
13057,"Cherokee County, Georgia",Exurbs,144815,42779,99585
13059,"Clarke County, Georgia",College Towns,51346,36055,14450
13061,"Clay County, Georgia",African American South,1435,791,637
13063,"Clayton County, Georgia",African American South,112330,95466,15811
13065,"Clinch County, Georgia",Working Class Country,2861,744,2105
13067,"Cobb County, Georgia",Urban Burbs,393728,221847,165436
13069,"Coffee County, Georgia",Working Class Country,15214,4511,10578
13071,"Colquitt County, Georgia",African American South,16086,4190,11777
13073,"Columbia County, Georgia",Military Posts,80575,29232,50013
13075,"Cook County, Georgia",Evangelical Hubs,7035,2059,4900
13077,"Coweta County, Georgia",Urban Burbs,76799,24210,51501
13079,"Crawford County, Georgia",Working Class Country,6102,1615,4428
13081,"Crisp County, Georgia",African American South,8033,2982,4985
13083,"Dade County, Georgia",Evangelical Hubs,7434,1261,6066
13085,"Dawson County, Georgia",Exurbs,16081,2486,13398
13087,"Decatur County, Georgia",African American South,11625,4782,6755
13089,"DeKalb County, Georgia",Urban Burbs,370746,308162,58377
13091,"Dodge County, Georgia",Evangelical Hubs,8071,2172,5843
13093,"Dooly County, Georgia",African American South,4105,1911,2159
13095,"Dougherty County, Georgia",African American South,35287,24568,10441
13097,"Douglas County, Georgia",African American South,69106,42814,25454
13099,"Early County, Georgia",African American South,5188,2450,2710
13101,"Echols County, Georgia",Evangelical Hubs,1441,167,1256
13103,"Effingham County, Georgia",Exurbs,31571,7718,23361
13105,"Elbert County, Georgia",African American South,9171,2879,6226
13107,"Emanuel County, Georgia",African American South,9505,2886,6553
13109,"Evans County, Georgia",African American South,4247,1324,2888
13111,"Fannin County, Georgia",Graying America,14849,2570,12169
13113,"Fayette County, Georgia",Urban Burbs,71994,33062,37956
13115,"Floyd County, Georgia",Working Class Country,41341,11917,28906
13117,"Forsyth County, Georgia",Urban Burbs,129311,42208,85123
13119,"Franklin County, Georgia",Evangelical Hubs,10765,1593,9069
13121,"Fulton County, Georgia",Big Cities,523779,380212,137247
13123,"Gilmer County, Georgia",Graying America,16525,2932,13429
13125,"Glascock County, Georgia",Evangelical Hubs,1565,155,1402
13127,"Glynn County, Georgia",Military Posts,41988,15882,25617
13129,"Gordon County, Georgia",Evangelical Hubs,24033,4384,19405
13131,"Grady County, Georgia",Working Class Country,10707,3619,7034
13133,"Greene County, Georgia",Graying America,11244,4087,7066
13135,"Gwinnett County, Georgia",Urban Burbs,414023,241994,166400
13137,"Habersham County, Georgia",Evangelical Hubs,20431,3562,16637
13139,"Hall County, Georgia",Exurbs,90537,25033,64183
13141,"Hancock County, Georgia",African American South,4153,2976,1154
13143,"Haralson County, Georgia",Evangelical Hubs,14246,1791,12330
13145,"Harris County, Georgia",Exurbs,19991,5457,14319
13147,"Hart County, Georgia",Working Class Country,12728,3157,9465
13149,"Heard County, Georgia",Evangelical Hubs,5394,824,4519
13151,"Henry County, Georgia",Urban Burbs,122998,73443,48259
13153,"Houston County, Georgia",Military Posts,74838,32239,41540
13155,"Irwin County, Georgia",Evangelical Hubs,4168,1008,3134
13157,"Jackson County, Georgia",Exurbs,37675,7642,29502
13159,"Jasper County, Georgia",Evangelical Hubs,7644,1761,5822
13161,"Jeff Davis County, Georgia",Evangelical Hubs,5771,1028,4695
13163,"Jefferson County, Georgia",African American South,7639,4058,3537
13165,"Jenkins County, Georgia",African American South,3455,1266,2161
13167,"Johnson County, Georgia",African American South,4100,1222,2850
13169,"Jones County, Georgia",Working Class Country,14934,4882,9940
13171,"Lamar County, Georgia",Working Class Country,9045,2620,6331
13173,"Lanier County, Georgia",Military Posts,3576,1019,2509
13175,"Laurens County, Georgia",African American South,22731,8074,14493
13177,"Lee County, Georgia",Exurbs,16714,4558,12007
13179,"Liberty County, Georgia",Military Posts,21394,13104,7959
13181,"Lincoln County, Georgia",Working Class Country,4641,1432,3173
13183,"Long County, Georgia",Military Posts,5657,2035,3527
13185,"Lowndes County, Georgia",College Towns,46355,20116,25692
13187,"Lumpkin County, Georgia",College Towns,15531,3126,12163
13189,"McDuffie County, Georgia",African American South,10455,4168,6169
13191,"McIntosh County, Georgia",Graying America,6696,2612,4016
13193,"Macon County, Georgia",African American South,4663,2858,1783
13195,"Madison County, Georgia",Evangelical Hubs,14937,3411,11326
13197,"Marion County, Georgia",Working Class Country,3625,1312,2275
13199,"Meriwether County, Georgia",African American South,10877,4287,6524
13201,"Miller County, Georgia",Evangelical Hubs,2834,748,2066
13205,"Mitchell County, Georgia",African American South,8962,3993,4935
13207,"Monroe County, Georgia",Working Class Country,15590,4385,11057
