Fips,YEAR,REG_VOTERS,BALLOTS_CAST,CVAP,REG_VOTERS_PCT,VOTER_TURNOUT_PCT,REG_VOTER_TURNOUT_PCT,PRES_DEM_VOTES,PRES_REP_VOTES,SEN_DEM_VOTES,SEN_REP_VOTES,PRES_DEM_RATIO,PRES_REP_RATIO,SEN_DEM_RATIO,SEN_REP_RATIO,PARTISAN_INDEX_DEM,PARTISAN_INDEX_REP
01001,2016,38187,25146,41015,0.9310496449471,0.6130927801132,0.658496320248,5936,18172,6331,18220,0.2462253123522,0.753774702549,0.2578713595867,0.742128610611,0.1853959113359,0.8146041035652
01003,2016,146824,96229,155375,0.9449654221535,0.6193338632584,0.655403733253,18458,72883,19145,74021,0.2020779252052,0.7979220747948,0.2054934203625,0.7945066094398,0.1534391790628,0.8465608358383
01005,2016,17102,10544,20270,0.8437099456787,0.5201776027679,0.616536080837,4871,5454,4777,5436,0.4717675447464,0.5282324552536,0.467737197876,0.532262802124,0.3681823313236,0.6318176388741
01007,2016,13510,8853,17660,0.7650056481361,0.5013023614883,0.655292391777,1874,6738,2082,6612,0.217603340745,0.7823966741562,0.2394755035639,0.7605245113373,0.1843067407608,0.8156932592392
01009,2016,37718,25740,42515,0.8871692419052,0.6054334044456,0.682432770729,2156,22859,2974,22117,0.0861882865429,0.9138116836548,0.1185285523534,0.8814714550972,0.0934334769845,0.9065665006638
01011,2016,7424,4742,8210,0.9042630791664,0.5775883197784,0.638739228249,3530,1140,3364,1166,0.7558886408806,0.2441113442183,0.7426048517227,0.2573951482773,0.5543279647827,0.4456720352173
01013,2016,13805,8774,15460,0.8929495215416,0.5675290822983,0.635566830635,3726,4901,3663,4840,0.4318998456001,0.5681001543999,0.4307891428471,0.5692108869553,0.3260747790337,0.6739252209663
01015,2016,74433,48076,88385,0.8421451449394,0.5439384579659,0.645896315575,13242,32865,14152,32976,0.2872015237808,0.7127984762192,0.3002885878086,0.6997114419937,0.2326329946518,0.7673670053482
01017,2016,24020,13904,26260,0.9146991372108,0.5294744968414,0.578850984573,5784,7843,5845,7865,0.4244514703751,0.5755485296249,0.4263311326504,0.5736688375473,0.3390479683876,0.6609520316124
01019,2016,16970,10860,20620,0.8229873776436,0.5266731381416,0.639952838421,1547,8953,1915,8636,0.1473333388567,0.8526666760445,0.181499376893,0.8185006380081,0.1704034954309,0.8295965194702
01021,2016,28579,18460,31775,0.899417757988,0.5809598565102,0.645928800106,2911,15081,3327,14582,0.1617941260338,0.8382058739662,0.185772523284,0.8142274618149,0.1429667174816,0.8570332527161
01023,2016,10990,7334,10455,0.9800000190735,0.7014825344086,0.667333960533,3109,4106,2992,4035,0.4309078454971,0.5690921545029,0.4257862567902,0.5742137432098,0.3437304198742,0.6562696099281
01025,2016,19400,13100,19085,0.9800000190735,0.6864029169083,0.675257742405,5749,7140,5558,7158,0.4460392594337,0.5539607405663,0.437087148428,0.5629128813744,0.3313764333725,0.6686235666275
01027,2016,10204,6641,10330,0.9800000190735,0.6428847908974,0.650823235512,1237,5245,1377,5147,0.190836161375,0.8091638088226,0.211066827178,0.7889331579208,0.1845791339874,0.8154208660126
01029,2016,10845,6645,11330,0.9571933150291,0.5864960551262,0.612724781036,684,5764,847,5554,0.1060794070363,0.8939206004143,0.1323230713606,0.8676769137383,0.1212739720941,0.8787260055542
01031,2016,33524,21084,38025,0.8816304802895,0.5544773340225,0.628922581673,4221,15875,4498,15745,0.2100418061018,0.789958178997,0.2222002595663,0.7777997255325,0.1722827702761,0.8277172446251
01033,2016,38334,25074,42195,0.908496260643,0.5942410230637,0.65409296751,7312,16746,8443,15866,0.3039321601391,0.6960678100586,0.3473199307919,0.6526800990105,0.2821029424667,0.7178970575333
01035,2016,10488,6640,9810,0.9800000190735,0.676860332489,0.633104503155,3080,3420,3006,3298,0.473846167326,0.5261538624763,0.476840108633,0.5231599211693,0.3634994328022,0.6365005373955
01037,2016,8123,5288,8990,0.9035595059395,0.588209092617,0.650991022587,1782,3381,1788,3378,0.3451481759548,0.6548518538475,0.3461091816425,0.6538908481598,0.299692183733,0.7003078460693
01039,2016,25347,16066,29165,0.8690896630287,0.5508657693863,0.633842289448,2387,13267,2740,12690,0.1524849832058,0.8475149869919,0.1775761544704,0.8224238753319,0.1405532956123,0.8594467043877
01041,2016,9958,6309,10550,0.9438862800598,0.5980094671249,0.633560955524,1664,4513,1734,4392,0.2693864405155,0.7306135892868,0.2830558419228,0.7169441580772,0.2229355126619,0.7770645022392
01043,2016,55908,38088,62010,0.9015965461731,0.6142235398293,0.681262075901,3798,32989,5207,32001,0.1032429933548,0.8967570066452,0.1399430185556,0.8600569963455,0.1159561350942,0.8840438723564
01045,2016,31420,18849,37175,0.8451916575432,0.5070343017578,0.599904537201,4413,13808,4625,13652,0.2421930730343,0.7578068971634,0.2530502676964,0.7469497323036,0.1543798446655,0.8456201553345
01047,2016,32530,18921,30305,0.9800000190735,0.6243523955345,0.581647694111,12836,5789,12380,6053,0.6891812086105,0.3108187913895,0.6716215610504,0.3283784389496,0.5089055299759,0.4910944700241
01049,2016,40824,26038,49580,0.8233965039253,0.5251714587212,0.63781106472,3622,21405,4827,20713,0.1447236984968,0.855276286602,0.1889976561069,0.8110023736954,0.165146201849,0.8348537683487
01051,2016,54061,37454,61965,0.8724440932274,0.6044380068779,0.692809998989,8443,27634,8833,27591,0.2340272217989,0.7659727931023,0.2425049394369,0.7574950456619,0.2347526401281,0.7652473449707
