Fips,avg_real_nodes_2020,avg_network_density_2020,avg_conNodeRatio_2020,avg_block_density_2020
38043,4379,3287.14111328,0.5859761834145,0.84728842974
38045,1929.5,3590.2286377,0.56987544894215,1.208568573
38047,2301,2881.62597657,0.5104259252548,0.79524111748
38049,3311.5,3606.79589844,0.5816711783409,1.22027629614
38051,2682,3188.92773438,0.5222979784012,1.00145196915
38053,1862.6,4935.500195316,0.4635700583458,5.07380989194
38055,2981,3559.0191243533336,0.5485818982124667,1.08512075742
38057,1499,6385.580566413333,0.4800971647103333,8.5452956756
38059,1271.7142857142856,13068.772181922857,0.5514396599360715,24.74551572119
38061,2230.3333333333335,3456.3977864633334,0.544524927934,1.18812930584
38063,3326,3406.71875,0.591604411602,1.23108637333
38065,2495,3499.40551758,0.4662679731846,0.83848816156
38067,705,3709.8026733425,0.506173029541975,1.5080077052125
38069,1554.5,3221.0203857449997,0.57230937480925,1.027789831165
38071,1348.3333333333333,9399.788574223334,0.592730820179,18.51498570045333
38073,1023.3333333333334,6146.919514980001,0.5714271465937333,7.215857704483334
38075,3625,4157.53076172,0.6129522919655,1.32260191441
38077,1077.3333333333333,9165.601318361667,0.6182596087455666,15.745925962926668
38079,1356,4420.294982915,0.533570423722275,1.4711689651025
38081,1611,3707.90356446,0.56438302993775,1.31529146433
38083,2828,3121.68823242,0.5683279633522,0.76976495981
38085,1114,2553.977539065,0.46234430372715,0.459721267225
38087,3096,3189.78833008,0.4750652015209,0.61090755463
38089,778.2222222222222,18351.025689022223,0.5679307745562778,44.424741784734444
38091,2378,3497.80419922,0.5607168078423,1.14342284203
38093,1378.2857142857142,21716.799351285714,0.6034796152795857,50.12988618442286
38095,2784,3073.64233399,0.5350759029388,0.86691039801
38097,919.25,8541.8029785175,0.61904548108575,13.3943439722075
38099,944.8333333333334,8193.808268233333,0.5753141840298833,12.257868448896666
38101,662.625,21489.728851320626,0.5676122643053501,39.97665309906375
38103,1916.5,9126.46984864,0.60386818647385,16.615899205210003
38105,1215,16354.0345764175,0.5565162189304625,36.75059722364375
39001,381.42857142857144,4281.797502791428,0.3930736737591857,2.7003159182442857
39003,264.6285714285715,22039.824972100858,0.5808953276702314,50.58566987174315
39005,477.83333333333337,10827.079305016667,0.459850947062175,20.6499915619725
39007,180.42857142857142,9914.803536555,0.4913967134697143,16.639326546877857
39009,278.53333333333336,15000.298291018667,0.43775160312652,27.147222407662667
39011,508.54545454545456,10189.93772195,0.5688554644584727,16.471189260487275
39013,390.5,17517.88196910818,0.48448695648799545,40.12616100094909
39015,575,5668.8644043,0.451009786129,4.287677574161
39017,120.93023255813952,20347.52290663849,0.5382067200749442,38.10417551772965
39019,405.14285714285717,5552.891462055714,0.4367682380335857,4.819648912978572
39021,432.8,7609.553759769,0.52179208993911,9.398725688459
39023,116.46666666666665,20487.777132164003,0.5501275009579133,48.22267926534467
39025,113.33333333333334,12348.819524132083,0.41988895429918544,11.672110348943958
39027,199.6,8655.46259766,0.41732836663724,15.197929263119
39029,342.44,16045.597539065599,0.471980550289156,35.1698027896916
39031,338.8,11178.628295901999,0.50653322339058,23.311807155613998
39033,320.6923076923077,13950.712890628462,0.5256836253863,32.456007847423074
39035,66.2857142857143,30030.071979747587,0.576684155739163,59.55886211663763
39037,684.2142857142857,11063.313092915714,0.5842958050114643,17.405894926618572
39039,627.4444444444445,10515.419053824444,0.5432695282830222,17.31124009026889
39041,157.625,14348.85581054975,0.51033415868878,21.015387362246
39043,227.42105263157896,16206.429661804737,0.5650906845142947,35.830865671764734
39045,177.91666666666669,16546.96133084111,0.5027076610260556,41.8014175295875
39047,264.7142857142857,6117.492954802858,0.49456030981878574,7.667676193377143
39049,95.66158536585368,28401.75044213449,0.5339558609738592,64.13027334867947
39051,547.9,9274.405224612,0.54410049915313,10.878441572193001
39053,235.875,5482.0365600612495,0.3528864234685875,5.6314405798925
39055,111,5776.591424855238,0.4888900475842619,3.9382764044295238
39057,174.88095238095235,17188.447219124522,0.529831315080319,25.017873241791907
39059,695.1,14142.150878908,0.5420971095562,29.645898008351
39061,82.40707964601764,27726.222496372568,0.512014922578777,56.60034994847454
39063,262.26666666666665,14251.47011719,0.5259523014227533,27.555641555789332
39065,224.5,8205.48577881,0.4888457134366125,11.913119614127499
39067,420,4569.307519536,0.41513596773149997,3.8241121769
39069,667.7142857142857,7212.617815294286,0.5137766599655142,7.870875835421429
39071,250.72727272727272,5265.686989527273,0.4373872442679,4.525180946699091
39073,423.57142857142856,6258.675990515714,0.3965053771223286,4.9964924710171434
39075,665.8,7059.135205083,0.45110892951488,3.903998875622
39077,522.2307692307693,8581.82722356,0.5219544607859461,9.806761118085385
39079,327,6039.525774277143,0.43077579992157145,7.925755875454286
39081,241.5,16794.560591267273,0.47853522950952726,41.81460332870909
39083,771.2857142857143,10115.736537392857,0.50194705171245,13.412020257544285
39085,109.15254237288134,19541.23042737305,0.5388420810133695,27.7263102369839
39087,215.38888888888889,14419.002604168332,0.46151560379400003,37.63664408525111
39089,351.8913043478261,15759.438009514566,0.4884436512770891,24.198211669925872
39091,278.27272727272725,9372.027321558182,0.49204512075944545,20.119773019448182
39093,108.9873417721519,17897.823603765442,0.5238818401777241,33.5351401793857
39095,76.89285714285717,27526.792250862036,0.5878449184376553,61.17191061165167
39097,155.5,6871.639485679167,0.4549413298567083,12.418311218424167
39099,117.94666666666664,22006.43813151307,0.5710577813784253,42.777342309956275
